job_name,result,bmc.circ_sz,bmc.dag_sz,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
hash_table_move,TRUE,5,332,0.32,0.30,0.00,0.00,0.00,0.34
byte_cursor_eq_ignore_case,TRUE,4,1022,2.49,2.46,0.00,0.00,0.00,2.51
hash_iter_done,TRUE,5,606,0.50,0.47,0.01,0.00,0.00,0.54
array_list_comparator_string,TRUE,6,1181,6.81,6.79,0.00,0.00,0.00,6.83
hash_table_clean_up,TRUE,5,698,0.85,0.82,0.01,0.00,0.00,0.89
linked_list_init,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.03
hash_c_string,TRUE,5,877,1.30,1.27,0.01,0.01,1.35
linked_list_remove,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.04
hash_table_clear,TRUE,5,722,0.77,0.75,0.01,0.00,0.00,0.81
array_list_erase,TRUE,5,410,7.73,7.71,0.00,0.00,0.00,7.75
linked_list_prev,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.04
hash_iter_begin,TRUE,5,1142,1.76,1.72,0.01,0.01,0.00,1.81
hash_iter_begin_done,TRUE,5,1377,1.65,1.62,0.03,0.02,0.00,1.75
linked_list_next,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.03
linked_list_node_reset,TRUE,4,70,0.07,0.07,0.00,0.00,0.00,0.09
hash_iter_next,TRUE,5,801,2.06,2.03,0.01,0.00,0.00,2.10
linked_list_insert_before,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.03
hash_table_swap,TRUE,6,693,2.16,2.12,0.00,0.00,0.00,2.19
linked_list_insert_after,TRUE,6,21,0.02,0.01,0.00,0.00,0.00,0.04
hash_byte_cursor_ptr,TRUE,4,1293,2.31,2.28,0.01,0.00,0.00,2.41
hash_table_init_unbounded,TRUE,5,412,2.32,2.26,0.00,0.00,0.00,2.35
linked_list_end,TRUE,4,546,2.09,2.06,0.00,0.00,0.00,2.12
linked_list_back,TRUE,4,553,2.29,2.26,0.00,0.00,0.00,2.33
string_bytes,TRUE,5,152,0.43,0.42,0.00,0.00,0.00,0.44
linked_list_front,TRUE,4,581,2.22,2.18,0.01,0.00,0.00,2.26
linked_list_begin,TRUE,4,545,3.02,2.99,0.00,0.00,0.00,3.05
linked_list_rend,TRUE,4,551,1.83,1.79,0.00,0.00,0.00,1.87
linked_list_push_back,TRUE,4,669,2.50,2.43,0.01,0.00,0.00,2.55
string_new_from_c_str,TRUE,6,570,0.37,0.34,0.00,0.00,0.00,0.40
linked_list_rbegin,TRUE,4,588,2.40,2.37,0.01,0.00,0.00,2.44
