job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
array_list_get_at_ptr,TRUE,11,201,0.54,0.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.55
array_list_init_dynamic,TRUE,12,145,0.85,0.84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.87
array_list_get_at,TRUE,18,281,0.81,0.80,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.84
array_list_init_static,TRUE,12,211,0.94,0.93,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.96
array_list_back,TRUE,18,295,1.08,1.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.10
array_list_front,TRUE,18,288,1.16,1.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.19
byte_buf_append,TRUE,15,245,0.12,0.11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.14
byte_buf_advance,TRUE,12,216,0.17,0.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.19
array_list_sort,TRUE,9,163,0.50,0.48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.52
array_list_pop_back,TRUE,11,221,1.42,1.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.44
byte_buf_clean_up,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
byte_buf_clean_up_secure,TRUE,17,75,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
byte_buf_append_dynamic,TRUE,21,350,0.26,0.24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.28
array_eq_c_str,TRUE,12,1132,1.55,1.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.59
array_list_clear,TRUE,9,126,1.83,1.82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.85
byte_buf_eq_c_str,TRUE,9,319,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_buf_from_array,TRUE,9,127,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.03
byte_buf_eq_c_str_ignore_case,TRUE,9,319,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_buf_from_empty_array,TRUE,9,127,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
array_list_ensure_capacity,TRUE,12,240,2.27,2.26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.29
byte_buf_init,TRUE,12,100,0.03,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05
byte_buf_append_with_lookup,TRUE,17,699,0.99,0.95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,1.03
byte_buf_reserve,TRUE,14,157,0.07,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.08
byte_buf_reset,TRUE,9,126,0.14,0.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.16
byte_buf_secure_zero,TRUE,11,163,0.17,0.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.19
array_eq_ignore_case,TRUE,12,2276,2.67,2.62,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.02,2.69
byte_buf_init_copy_from_cursor,TRUE,14,246,0.27,0.26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.29
byte_buf_reserve_relative,TRUE,14,236,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.18
byte_buf_write_be16,TRUE,11,168,0.08,0.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
byte_buf_write_be32,TRUE,11,168,0.08,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
byte_buf_write,TRUE,13,322,0.39,0.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.41
array_eq,TRUE,12,1121,3.18,3.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,3.20
byte_buf_write_be64,TRUE,11,168,0.08,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
array_list_pop_front,TRUE,11,310,3.32,3.29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.01,3.35
array_list_swap_contents,TRUE,12,271,2.15,2.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.19
byte_buf_write_u8,TRUE,11,166,0.08,0.07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
array_list_pop_front_n,TRUE,15,379,3.39,3.34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,3.42
