job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
byte_cursor_trim_pred2,TRUE,8,546,0.42,0.39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.44
byte_cursor_read_be16_2,TRUE,12,239,0.14,0.12,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.16
byte_cursor_eq_c_str_ignore_case2,TRUE,9,318,0.16,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
hash_table_foreach,TRUE,13,1297,17.07,16.37,132,188,18,49,264,n/a,371,n/a,n/a,0.00,0.17,0.45,17.20
array_list_pop_front2,TRUE,11,255,3.99,3.97,3,54,66,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.01
byte_cursor_right_trim_pred2,TRUE,8,291,0.10,0.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.13
byte_cursor_satisfies_pred2,TRUE,8,222,0.04,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.06
byte_cursor_eq_byte_buf2,TRUE,13,732,0.55,0.52,3,2,3,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.57
byte_cursor_eq_byte_buf_ignore_case2,TRUE,15,2334,1.38,1.32,1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,1.41
hash_table_get_entry_count2,TRUE,11,287,0.11,0.09,n/a,n/a,n/a,n/a,n/a,n/a,28,n/a,n/a,0.00,0.00,0.00,0.13
byte_cursor_read_and_fill_buffer2,TRUE,15,512,0.43,0.40,4,84,74,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.45
byte_buf_init_copy2,TRUE,15,1065,3.76,3.73,1,6,n/a,n/a,n/a,n/a,1746,n/a,n/a,0.00,0.01,0.01,3.79
hash_iter_done2,TRUE,11,433,0.25,0.23,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,0.00,0.00,0.00,0.29
byte_cursor_eq_ignore_case2,TRUE,14,2241,1.19,1.14,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,1.21
mem_realloc_unsa,FALSE,15,262,0.06,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.08
byte_cursor_compare_lexical2,TRUE,14,733,0.89,0.86,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.91
byte_cursor_compare_lookup2,TRUE,16,1138,2.01,1.97,3,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,2.06
hash_iter_begin2,TRUE,11,1104,0.57,0.52,n/a,n/a,n/a,n/a,n/a,n/a,204,n/a,n/a,0.00,0.00,0.01,0.62
array_list_pop_front_n2,TRUE,11,279,4.49,4.48,3,54,100,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.51
hash_iter_next2,TRUE,11,806,1.06,1.02,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,0.00,0.00,0.01,1.10
string_new_from_string,TRUE,12,844,11.41,11.38,3,14,36,n/a,5,n/a,261,n/a,20,0.00,0.00,0.01,11.43
hash_iter_begin_done2,TRUE,11,1335,1.43,1.38,n/a,n/a,n/a,n/a,n/a,n/a,236,n/a,n/a,0.00,0.00,0.01,1.54
hash_table_find2,TRUE,11,1304,1.90,1.85,n/a,n/a,n/a,n/a,n/a,n/a,46,n/a,n/a,0.00,0.00,0.01,1.95
